,Employee_ID,Name,email,gender,Department,Education level,Date Hired,Still Employed,Work-Life Balance Score,Absenteeism Rate,Performance Review Score,Training Courses Attended,Current Salary,Benefits,Source of Hire,Starting Salary,Salary Growth (%),Promoted,reason_for_leaving,last_day_of_employment,root_cause_leaving,turnover_type,Performance_group
0,1,Skipp Gronaver,sgronaver0@dyndns.org,Male,Engineering,PhD,1997-08-07,True,4,Low,Below Expectations,Effective Communication Skills,78240.83,performance bonuses,Social media,70000,11.77261428571429,Yes,,,,,Low
1,2,Pablo Libby,plibby1@wp.com,Male,Human Resources,PhD,2002-07-17,True,4,High,Outstanding,Public Speaking Mastery,64892.82,gym membership,Social media,60000,8.1547,No,,,,,High
2,3,Leonid McCombe,lmccombe2@sakura.ne.jp,Male,Services,Master's Degree,1998-10-27,True,4,Moderate,Superior,Advanced Excel Techniques,88772.56,professional development opportunities,Recruiter,95000,-6.555200000000003,No,,,,,High
3,4,Bary Rachuig,brachuig3@unc.edu,Male,Product Management,Professional Degree,1983-03-01,False,2,Low,Superior,Advanced Excel Techniques,116963.07,professional development opportunities,Job board,70000,67.0901,No,Company downsizing,2012-08-16,Organizational Restructuring,Involuntary,High
4,5,Anestassia Langhorne,alanghorne4@mail.ru,Female,Business Development,Professional Degree,1996-08-07,True,3,High,Average,Digital Marketing Strategies,80644.56,flexible work hours,Employee referral,65000,24.06855384615384,No,,,,,Meet Expectation
5,6,Jemie Makepeace,jmakepeace5@t.co,Female,Business Development,Associate's Degree,2002-01-31,False,5,High,Below Expectations,Digital Marketing Strategies,54642.58,remote work option,Recruiter,85000,-35.71461176470588,Yes,Career change,2014-02-01,Career & Compensation,Voluntary,Low
6,7,Essa Thornborrow,ethornborrow6@sciencedirect.com,Female,Product Management,PhD,2011-03-26,False,3,Moderate,Good,Digital Marketing Strategies,92433.81,remote work option,Social media,90000,2.704233333333331,No,Family commitments,2015-05-22,Personal - Life Events,Voluntary,Meet Expectation
7,8,Deirdre Minty,dminty7@nhs.uk,Female,Support,Professional Degree,2012-08-30,True,2,Moderate,Below Expectations,Leadership Development Program,114032.3,professional development opportunities,Job board,75000,52.04306666666667,Yes,,,,,Low
8,9,Willette Newson,wnewson8@soup.io,Female,Research and Development,Master's Degree,2021-09-14,True,2,Low,Needs Improvement,Cybersecurity Basics,137550.14,company car,Employee referral,65000,111.6156,No,,,,,Low
9,10,Chrissy Beran,cberan9@foxnews.com,Male,Business Development,Associate's Degree,1996-06-17,False,3,Low,Satisfactory,Customer Service Excellence,67796.98,performance bonuses,Company website,75000,-9.604026666666671,No,Company downsizing,2017-04-08,Organizational Restructuring,Involuntary,Meet Expectation
10,11,Harland Durrand,hdurranda@google.ca,Male,Human Resources,Associate's Degree,2000-06-26,True,2,High,Below Expectations,Project Management Fundamentals,121795.4,remote work option,Social media,85000,43.28870588235294,Yes,,,,,Low
11,12,Saxon Furby,sfurbyb@prweb.com,Male,Engineering,Master's Degree,2011-10-28,True,3,Moderate,Exceptional,Customer Service Excellence,121029.58,free snacks,Job board,50000,142.05916,No,,,,,High
12,13,Caryl Mor,cmorc@creativecommons.org,Male,Product Management,Master's Degree,2000-06-05,False,4,Low,Below Expectations,Customer Service Excellence,80765.69,flexible work hours,Job board,75000,7.68758666666667,No,Health reasons,2020-01-20,Personal - Life Events,Voluntary,Low
13,14,Ezri Addison,eaddisond@is.gd,Male,Business Development,PhD,2008-02-28,True,3,Moderate,Below Expectations,Cybersecurity Basics,107035.69,performance bonuses,Recruiter,55000,94.61034545454548,No,,,,,Low
14,15,Noll Keysel,nkeysele@gnu.org,Male,Accounting,Associate's Degree,2017-09-02,True,2,Moderate,Superior,Public Speaking Mastery,56482.75,remote work option,Recruiter,50000,12.9655,No,,,,,High
15,16,Genovera Jupe,gjupef@indiatimes.com,Female,Engineering,Professional Degree,1992-05-29,True,2,High,Unsatisfactory,Digital Marketing Strategies,148526.79,free snacks,Company website,70000,112.1811285714286,No,,,,,Low
16,17,Tedie Evenett,tevenettg@about.com,Male,Support,Master's Degree,2009-01-27,True,1,High,Below Expectations,Introduction to Data Science,62691.59,health insurance,Recruiter,70000,-10.44058571428572,Yes,,,,,Low
17,18,Annora Treasaden,atreasadenh@dedecms.com,Female,Training,PhD,2023-03-26,True,5,Low,Superior,Project Management Fundamentals,115585.02,gym membership,Company website,90000,28.4278,No,,,,,High
18,19,Justine Rushbrooke,jrushbrookei@mac.com,Female,Accounting,Associate's Degree,1981-03-25,False,3,High,Below Expectations,Digital Marketing Strategies,46553.29,paid time off,Social media,70000,-33.4953,Yes,Found a better opportunity,2007-11-06,Career & Compensation,Voluntary,Low
19,20,Gerrie Govenlock,ggovenlockj@cbsnews.com,Female,Accounting,PhD,2006-10-04,False,2,Moderate,Average,Digital Marketing Strategies,87417.26,paid time off,Job board,60000,45.69543333333333,Yes,Relocation,2019-08-11,Personal - Life Events,Voluntary,Meet Expectation
20,21,Hy Moreman,hmoremank@so-net.ne.jp,Male,Accounting,Professional Degree,1993-03-17,True,1,High,Satisfactory,Project Management Fundamentals,134177.3,free snacks,Recruiter,95000,41.23926315789473,No,,,,,Meet Expectation
21,22,Lynda Ledes,lledesl@g.co,Female,Sales,PhD,1993-02-27,True,4,High,Good,Introduction to Data Science,122914.85,company car,Company website,90000,36.57205555555556,Yes,,,,,Meet Expectation
22,23,Ermin Burnand,eburnandm@free.fr,Male,Engineering,High School Diploma,2007-10-15,True,2,High,Good,Cybersecurity Basics,113651.24,performance bonuses,Employee referral,80000,42.06405000000001,Yes,,,,,Meet Expectation
23,24,Granville Esmond,gesmondn@nbcnews.com,Male,Research and Development,Bachelor's Degree,1997-03-20,True,2,Moderate,Good,Negotiation Skills Workshop,141320.47,401k matching,Company website,70000,101.8863857142857,No,,,,,Meet Expectation
24,25,Ashien Fakes,afakeso@4shared.com,Female,Training,PhD,1982-07-30,False,4,Low,Excellent,Introduction to Data Science,94662.64,flexible work hours,Recruiter,55000,72.11389090909091,No,Family commitments,2007-10-23,Personal - Life Events,Voluntary,High
25,26,Bordy Tuther,btutherp@cmu.edu,Male,Support,Professional Degree,1997-03-25,True,5,High,Excellent,Leadership Development Program,48558.61,free snacks,Employee referral,90000,-46.04598888888889,No,,,,,High
26,27,Farrand Smorthwaite,fsmorthwaiteq@mozilla.com,Female,Research and Development,Master's Degree,2017-09-14,True,4,Low,Average,Effective Communication Skills,42483.13,company car,Employee referral,85000,-50.01984705882353,No,,,,,Meet Expectation
27,28,Cobby Shallcrass,cshallcrassr@oracle.com,Male,Sales,Master's Degree,1994-08-27,False,1,Low,Superior,Leadership Development Program,56427.09,performance bonuses,Job board,95000,-40.60306315789474,Yes,Found a better opportunity,2021-03-30,Career & Compensation,Voluntary,High
28,29,Esra O' Kelleher,eos@mlb.com,Male,Business Development,Professional Degree,1991-05-30,True,4,Moderate,Good,Introduction to Data Science,69869.27,performance bonuses,Social media,70000,-0.186757142857137,No,,,,,Meet Expectation
29,30,Meghan Habens,mhabenst@gravatar.com,Female,Services,Professional Degree,2001-07-10,True,4,Low,Unsatisfactory,Advanced Excel Techniques,84279.84,performance bonuses,Employee referral,85000,-0.8472470588235335,Yes,,,,,Low
30,31,Benson Ducket,bducketu@reddit.com,Male,Business Development,Professional Degree,2002-09-02,True,3,High,Good,Advanced Excel Techniques,90585.28,flexible work hours,Recruiter,75000,20.78037333333333,Yes,,,,,Meet Expectation
31,32,Nye Patterson,npattersonv@arstechnica.com,Male,Human Resources,Professional Degree,2015-06-30,True,2,Moderate,Needs Improvement,Introduction to Data Science,96047.31,performance bonuses,Job board,65000,47.7650923076923,Yes,,,,,Low
32,33,Aurora Maffezzoli,amaffezzoliw@angelfire.com,Female,Research and Development,High School Diploma,2009-04-22,True,1,Moderate,Needs Improvement,Customer Service Excellence,137354.34,remote work option,Recruiter,50000,174.70868,Yes,,,,,Low
33,34,Ive McCorley,imccorleyx@discovery.com,Male,Engineering,Associate's Degree,1990-07-31,True,5,Moderate,Excellent,Introduction to Data Science,82025.45,remote work option,Employee referral,95000,-13.65742105263158,No,,,,,High
34,35,Penny Scholler,pschollery@t.co,Male,Services,High School Diploma,2022-07-15,True,4,Low,Excellent,Cybersecurity Basics,70824.05,gym membership,Job board,55000,28.77100000000001,Yes,,,,,High
35,36,Annie Pegden,apegdenz@imageshack.us,Female,Business Development,Professional Degree,2006-08-18,False,1,Low,Outstanding,Negotiation Skills Workshop,111421.96,flexible work hours,Job board,65000,71.41840000000002,Yes,Relocation,2011-02-11,Personal - Life Events,Voluntary,High
36,37,Madelena Sargeant,msargeant10@bloglovin.com,Female,Marketing,Professional Degree,1992-07-28,True,1,Moderate,Exceptional,Cybersecurity Basics,98230.92,professional development opportunities,Social media,70000,40.32988571428572,No,,,,,High
37,38,Tova Goodge,tgoodge11@samsung.com,Female,Accounting,Associate's Degree,1990-11-08,True,5,Low,Satisfactory,Public Speaking Mastery,125841.4,health insurance,Recruiter,75000,67.78853333333332,Yes,,,,,Meet Expectation
38,39,Drusi Place,dplace12@theguardian.com,Female,Legal,Bachelor's Degree,2001-09-16,True,5,High,Unsatisfactory,Leadership Development Program,50303.29,paid time off,Job board,90000,-44.10745555555555,Yes,,,,,Low
39,40,Giraldo Roxby,groxby13@craigslist.org,Male,Training,Associate's Degree,2006-01-31,True,4,Moderate,Needs Improvement,Public Speaking Mastery,139048.58,remote work option,Company website,85000,63.58656470588235,Yes,,,,,Low
40,41,Corney Tredwell,ctredwell14@4shared.com,Male,Accounting,Master's Degree,2019-12-15,True,5,High,Excellent,Advanced Excel Techniques,139001.25,professional development opportunities,Job board,55000,152.7295454545454,Yes,,,,,High
41,42,Marsiella Abrahart,mabrahart15@netlog.com,Female,Human Resources,Master's Degree,1992-04-03,True,1,Moderate,Superior,Public Speaking Mastery,42196.76,paid time off,Recruiter,55000,-23.27861818181818,No,,,,,High
